Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
    1  119 0xffffff7f80c00000 0x9e50     0x9e50     com.apple.kpi.bsd (18.6.0) 353F5343-28D5-43A6-B286-5CFDEC4060CE
    2   11 0xffffff7f80d11000 0x3900     0x3900     com.apple.kpi.dsep (18.6.0) 16A6499E-4B86-4627-B449-1EA658BE331D
    3  146 0xffffff7f80c2a000 0x21be0    0x21be0    com.apple.kpi.iokit (18.6.0) 4FA29CF5-9007-41F7-902E-7466A1B9487C
    4    0 0xffffff7f83265000 0x34b0     0x34b0     com.apple.kpi.kasan (18.6.0) 8B5E3A70-8F9D-478E-9C4A-B6730DC3D873
    5  152 0xffffff7f80c0a000 0xd880     0xd880     com.apple.kpi.libkern (18.6.0) 3235BAAA-FCA7-4397-B13D-9F8A9F93A691
    6  136 0xffffff7f80c18000 0x3f60     0x3f60     com.apple.kpi.mach (18.6.0) 9A9FD94B-9805-4400-8B2F-48EE37D02E41
    7   84 0xffffff7f80c1c000 0xd6d0     0xd6d0     com.apple.kpi.private (18.6.0) 16A1B25A-BD38-452B-8215-D2D177A0FE32
    8   81 0xffffff7f80c8f000 0x5ed0     0x5ed0     com.apple.kpi.unsupported (18.6.0) E015D07E-3474-4BD7-AB7A-7ACB541BCA42
    9    9 0xffffff7f810c7000 0xba000    0xba000    com.apple.kec.corecrypto (1.0) F7A10428-F8A2-320D-9BAB-F4F7282609C0 <8 7 6 5 3 1>
   10    2 0xffffff7f8198c000 0x10000    0x10000    com.apple.kec.Libm (1) 125E1822-9423-31B1-9CCA-0075B81C0994 <5>
   11    0 0xffffff7f82ac9000 0xa000     0xa000     com.apple.kec.pthread (1) 2DD513A2-8539-33C6-BF49-68B43C0ABD01 <8 7 6 5 3 1>
   12   28 0xffffff7f81288000 0x9000     0x9000     com.apple.iokit.IOACPIFamily (1.4) D039545F-9B61-3B0D-8F90-CCCAE5BD7A52 <8 7 5 3>
   13   40 0xffffff7f80c95000 0x36000    0x36000    com.apple.iokit.IOPCIFamily (2.9) CC6A465F-5A24-304D-B9DF-8C27819CC214 <8 7 6 5 3>
   14    9 0xffffff7f81291000 0x1e000    0x1e000    com.apple.driver.AppleSMC (3.1.9) A20E3E30-0CB9-3E88-9B52-F65FE643BCCF <13 12 8 7 6 5 3 1>
   15    2 0xffffff7f82b84000 0x9c000    0x9c000    com.apple.driver.AppleACPIPlatform (6.1) AE00900F-6E82-31C1-82E7-23005F4219A4 <14 13 12 8 7 6 5 3 1>
   16    0 0xffffff7f80d15000 0x2000     0x2000     com.parrotgeek.SIPManager (1) 1BC5A61A-2433-3048-B975-26131D7AD82B <8 6 5 3 2 1>
   17   12 0xffffff7f80fb9000 0x30000    0x30000    com.apple.iokit.IONetworkingFamily (3.4) 633B919E-8F93-3ED4-9A29-894AB1E79D29 <8 7 6 5 3 1>
   18    2 0xffffff7f80ff0000 0x2d000    0x2d000    com.apple.iokit.IOTimeSyncFamily (740.2) BAC1791E-5F81-3432-A4DB-5776145C048F <17 6 5 3 1>
   19    6 0xffffff7f8185b000 0x7000     0x7000     com.apple.iokit.IOReportFamily (47) 5772C11C-ED28-322A-910F-874583B23101 <6 5 3>
