## 2.100000 146
TIME_DIFF ,0.000000,1.142239,1.151854
TIME_START ,978309369.869114,978309371.011354,978309372.163209
#KEY , 380.000000, 380.000000, 380.000000
$Adr , 768.000000, 768.000000, 768.000000
$Num , 1.000000, 1.000000, 1.000000
+LKS , 7.000000, 7.000000, 7.000000
ACEN , 1.000000, 1.000000, 1.000000
ACFP , 1.000000, 1.000000, 1.000000
ACIC , 3456.000000, 3456.000000, 3456.000000
ACID , 0x85 20 34 f4 c0 03 10 97  , 0x85 20 34 f4 c0 03 10 97  , 0x85 20 34 f4 c0 03 10 97  
ACIN , 1.000000, 1.000000, 1.000000
ACLM , 85.000000, 85.000000, 85.000000
AL!  , 0.000000, 0.000000, 0.000000
ALA0 , 0xca 1e ff d6 02 d9 , 0xca 1e ff d6 02 d9 , 0xca 1e ff d6 02 d9 
ALA1 , 0x30 a4 02 1f 03 15 , 0x30 a4 02 1f 03 15 , 0x30 a4 02 1f 03 15 
ALA2 , 0x0c ea 02 d4 03 96 , 0x0c ea 02 d4 03 96 , 0x0c ea 02 d4 03 96 
ALA3 , 0x03 89 03 61 03 dc , 0x03 89 03 61 03 dc , 0x03 89 03 61 03 dc 
ALA4 , 0x00 ee 03 bc 04 00 , 0x00 ee 03 bc 04 00 , 0x00 ee 03 bc 04 00 
ALA5 , 0x04 fc ff f3 04 00 , 0x04 fc ff f3 04 00 , 0x04 fc ff f3 04 00 
ALAT , 0x00 2b 03 08 , 0x00 2b 03 08 , 0x00 2b 03 08 
ALFC , 0.000000, 0.000000, 0.000000
ALI0 , 0x04 00 0f 00 , 0x04 00 0f 00 , 0x04 00 0f 00 
ALI1 , 0x00 00 00 00 , 0x00 00 00 00 , 0x00 00 00 00 
ALP0 , 4915.000000, 4915.000000, 4915.000000
ALP1 , 0.000000, 0.000000, 0.000000
ALRV , 1.000000, 1.000000, 1.000000
ALSC , 0x00 c8 00 96 03 e8 00 0f  00 01 01 5e 1d 03 01 06  , 0x00 c8 00 96 03 e8 00 0f  00 01 01 5e 1d 03 01 06  , 0x00 c8 00 96 03 e8 00 0f  00 01 01 5e 1d 03 01 06  
ALSF , 0.053009, 0.053009, 0.053009
ALSL , 4.000000, 4.000000, 4.000000
ALT0 , 0.000000, 0.000000, 0.000000
ALT1 , 0.000000, 0.000000, 0.000000
ALTH , 0x00 32 00 70 02 52 00 14  00 41 , 0x00 32 00 70 02 52 00 14  00 41 , 0x00 32 00 70 02 52 00 14  00 41 
ALV0 , 0x01 01 00 1e 00 0e 00 01  25 ac , 0x01 01 00 1e 00 0e 00 01  25 ac , 0x01 01 00 1e 00 0e 00 01  25 ac 
ALV1 , 0x00 01 00 00 00 00 00 00  00 00 , 0x00 01 00 00 00 00 00 00  00 00 , 0x00 01 00 00 00 00 00 00  00 00 
AUPO , 0.000000, 0.000000, 0.000000
B0AC , 3041.000000, 2684.000000, 2814.000000
B0AV , 11921.000000, 11877.000000, 11871.000000
B0Al , 65535.000000, 65535.000000, 65535.000000
B0Am , 16.000000, 16.000000, 16.000000
B0Ar , 0.000000, 0.000000, 0.000000
B0As , 0.000000, 0.000000, 0.000000
B0At , 2400.000000, 2400.000000, 2400.000000
B0Au , 2400.000000, 2400.000000, 2400.000000
B0BI , 0x51 , 0x51 , 0x51 
B0CT , 817.000000, 817.000000, 817.000000
B0FC , 5431.000000, 5431.000000, 5431.000000
B0LI , 32767.000000, 32767.000000, 32767.000000
B0RI , 4000.000000, 4000.000000, 4000.000000
B0RM , 1611.000000, 1611.000000, 1612.000000
B0St , 0x00 80 , 0x00 80 , 0x00 80 
B0TF , 149.000000, 149.000000, 149.000000
BATP , 0.000000, 0.000000, 0.000000
BBAD , 0.000000, 0.000000, 0.000000
BBIN , 1.000000, 1.000000, 1.000000
BC1V , 3958.000000, 3950.000000, 3943.000000
BC2V , 3967.000000, 3952.000000, 3950.000000
BC3V , 3997.000000, 3975.000000, 3978.000000
BCHA , 2.000000, 2.000000, 2.000000
BCHB , 0.000000, 0.000000, 0.000000
BCHO , 31.000000, 31.000000, 31.000000
BCHP , 2.000000, 2.000000, 2.000000
BCHR , 58.000000, 58.000000, 58.000000
BCHT , 6.000000, 6.000000, 6.000000
BCHX , 1.000000, 1.000000, 1.000000
BCLM , 100.000000, 100.000000, 100.000000
BCMV , 3997.000000, 3975.000000, 3978.000000
BEMB , 1.000000, 1.000000, 1.000000
BFCT , 0.000000, 0.000000, 0.000000
BILB , 31.000000, 31.000000, 31.000000
BILO , 31.000000, 31.000000, 31.000000
BLPT , 0x01 01 04 1a 10 e7 2f 70  00 00 00 00 00 00 00 00  00 00 00 00 , 0x01 01 04 1a 10 e7 2f 70  00 00 00 00 00 00 00 00  00 00 00 00 , 0x01 01 04 1a 10 e7 2f 70  00 00 00 00 00 00 00 00  00 00 00 00 
BNCR , 0.000000, 0.000000, 0.000000
BNum , 1.000000, 1.000000, 1.000000
BPII , -2.972656, -2.972656, -2.621094
BPIT , 15.527344, 15.527344, 15.527344
BRII , 0.011719, 0.011719, 0.011719
BRIT , 13.500000, 13.500000, 13.500000
BRSC , 30.000000, 30.000000, 30.000000
BSAC , 0x33 , 0x33 , 0x33 
BSIn , 0x43 , 0x43 , 0x43 
BTIL , 2688.000000, 2688.000000, 2688.000000
BTTI , 2.000000, 2.000000, 2.000000
BTVI , 1.000000, 1.000000, 1.000000
BTVR , 1.000000, 1.000000, 1.000000
BTVT , 1.000000, 1.000000, 1.000000
BWLM , 0.000000, 0.000000, 0.000000
CHBI , 3072.000000, 2944.000000, 2944.000000
CHBV , 12592.000000, 12592.000000, 12592.000000
CHGC , 98.000000, 98.000000, 98.000000
CHGI , 3072.000000, 3072.000000, 2944.000000
CHGV , 12592.000000, 12592.000000, 12592.000000
CHLC , 1.000000, 1.000000, 1.000000
CLK! , 0.000000, 0.000000, 0.000000
CLKC , 0x00 00 0e 10 00 00 0e 10  19 8c , 0x00 00 0e 10 00 00 0e 10  19 8c , 0x00 00 0e 10 00 00 0e 10  19 8c 
CLKH , 0x00 00 70 80 00 01 19 40  , 0x00 00 70 80 00 01 19 40  , 0x00 00 70 80 00 01 19 40  
CLKS , 1.000000, 1.000000, 1.000000
CLKT , 70571.000000, 70572.000000, 70574.000000
CLSD , 0.000000, 0.000000, 0.000000
CLWK , 0.000000, 0.000000, 0.000000
CRCB , 2748993958.000000, 2748993958.000000, 2748993958.000000
CRCU , 1202781829.000000, 1202781829.000000, 1202781829.000000
EPCA , 28672.000000, 28672.000000, 28672.000000
EPCF , 1.000000, 1.000000, 1.000000
EPCI , 95422208.000000, 95422208.000000, 95422208.000000
EPCV , 1.000000, 1.000000, 1.000000
EPMA , 0x00 00 60 80 , 0x00 00 60 80 , 0x00 00 60 80 
EPMI , 0.000000, 0.000000, 0.000000
EPUA , 24576.000000, 24576.000000, 24576.000000
EPUF , 1.000000, 1.000000, 1.000000
EPUI , 95420417.000000, 95420417.000000, 95420417.000000
EPUV , 1.000000, 1.000000, 1.000000
EVCT , 0.000000, 0.000000, 0.000000
F0Ac , 1999.250000, 2003.500000, 2003.500000
F0ID , 0x00 00 0a 00 45 78 68 61  75 73 74 20 20 00 00 00  , 0x00 00 0a 00 45 78 68 61  75 73 74 20 20 00 00 00  , 0x00 00 0a 00 45 78 68 61  75 73 74 20 20 00 00 00  
F0Mn , 2000.000000, 2000.000000, 2000.000000
F0Mt , 0.000000, 0.000000, 0.000000
F0Mx , 6200.000000, 6200.000000, 6200.000000
F0Tg , 2000.000000, 2000.000000, 2000.000000
FMAx , 4326.250000, 4326.250000, 4326.250000
FNum , 1.000000, 1.000000, 1.000000
FPDc , 18.164062, 17.968750, 17.968750
FS!  , 0.000000, 0.000000, 0.000000
FSDc , 0.000000, 0.000000, 0.000000
G3WD , 0.000000, 0.000000, 0.000000
HBKP , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00 , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00 , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00 
HBKT , 345600.000000, 345600.000000, 345600.000000
HBWK , 0.000000, 0.000000, 0.000000
HDBS , 1.000000, 1.000000, 1.000000
HDST , 0x00 00 00 00 , 0x00 00 00 00 , 0x00 00 00 00 
HDSW , 0x00 00 00 00 , 0x00 00 00 00 , 0x00 00 00 00 
IB0R , 0.160645, 0.160645, 0.160645
IB0r , 1152.000000, 1152.000000, 960.000000
IC0C , 0.000000, 0.000000, 0.000000
IC0R , 0.388672, 0.858398, 0.753906
IC0c , 5376.000000, 4416.000000, 5248.000000
IC0r , 3584.000000, 2624.000000, 4032.000000
IC1C , 0.000000, 0.000000, 0.000000
IC1c , 2432.000000, 2688.000000, 2624.000000
ID0R , 2.811523, 3.108398, 3.008789
ID0r , 25344.000000, 22912.000000, 25792.000000
IN0C , 0.000000, 0.000000, 0.000000
IN0c , 3008.000000, 2944.000000, 3072.000000
IO0R , 0.250000, 0.338379, 0.320312
IO0r , 3712.000000, 3072.000000, 3264.000000
KWS4 , 0.000000, 0.000000, 0.000000
LC2D , 2356.000000, 2356.000000, 2356.000000
LC2E , 2356.000000, 2356.000000, 2356.000000
LCCN , 14.000000, 14.000000, 14.000000
