(No apps)
                                             BUNDLE ID	  PID	       ASN	P.CID

                                 com.apple.loginwindow	   89	    0x1001	(null)
                         com.apple.ViewBridgeAuxiliary	  221	    0x9009	(null)
                                                (null)	  268	   0x11011	(null)
                                    com.apple.talagent	  269	   0x12012	(null)
                                        com.apple.dock	  270	   0x13013	(null)
                                   com.apple.Spotlight	  299	   0x17017	(null)
                        com.apple.notificationcenterui	  307	   0x18018	(null)
                                                (null)	  336	   0x1e01e	(null)
                                com.apple.locationmenu	  403	   0x24024	(null)
                              com.apple.wifi.WiFiAgent	  387	   0x26026	(null)
                                com.apple.cloudphotosd	  479	   0x36036	(null)
                           com.apple.systempreferences	  497	   0x3b03b	(null)
com.apple.preference.displays.AirPlayDeviceMenuService	  506	   0x3d03d	(null)
           com.apple.preferences.sharing.remoteservice	  507	   0x3e03e	(null)
                                    com.apple.TextEdit	  526	   0x41041	(null)
    com.apple.preference.universalaccess.remoteservice	  532	   0x44044	(null)
                                  com.apple.helpviewer	  556	   0x46046	(null)
            com.apple.preference.network.remoteservice	  561	   0x47047	(null)
            com.apple.localAuthenticationRemoteService	  563	   0x48048	(null)
                             com.apple.ActivityMonitor	  643	   0x49049	(null)
                                 com.apple.SSMenuAgent	  745	   0x4a04a	(null)
                          com.apple.RemoteDesktopAgent	 1229	   0x4c04c	(null)
                              com.apple.AirPlayUIAgent	 1230	   0x4d04d	(null)
                        com.apple.coreservices.uiagent	 1231	   0x4e04e	(null)
                         com.apple.ViewBridgeAuxiliary	 1236	   0x50050	(null)
                              com.apple.systemuiserver	 1237	   0x51051	(null)
                                  com.apple.dock.extra	 1243	   0x52052	(null)
                                    com.apple.studentd	 1244	   0x53053	(null)
                                     com.apple.nbagent	 1245	   0x54054	(null)
                                      com.apple.finder	 1247	   0x55055	(null)
       com.apple.security.Keychain-Circle-Notification	 1263	   0x57057	(null)
        com.apple.preferences.extensions.remoteservice	 1302	   0x5a05a	(null)
