Processes: 288 total, 6 running, 1 stuck, 281 sleeping, 976 threads 
2000/12/31 19:35:48
Load Avg: 1.60, 2.65, 12.80 
CPU usage: 25.0% user, 43.96% sys, 31.3% idle 
SharedLibs: 413M resident, 66M data, 172M linkedit.
MemRegions: 37933 total, 1516M resident, 282M private, 377M shared.
PhysMem: 6083M used (1950M wired), 10G unused.
VM: 1277G vsize, 1373M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 0/0B in, 0/0B out.
Disks: 0/0B read, 0/0B written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS PGRP PPID STATE    BOOSTS   %CPU_ME %CPU_OTHRS UID FAULTS COW  MSGSENT MSGRECV SYSBSD  SYSMACH CSW     PAGEINS IDLEW POWER INSTRS CYCLES USER               #MREGS RPRVT  VPRVT  VSIZE  KPRVT  KSHRD 
1296  vm_stat          0.0  00:00.01 1     0   11     252K   0B     0B    1296 515  sleeping *0[1]    0.00000 0.00000    0   175    34   18      9       73      39      7       0       0     0.0   0      0      root               25     116K   26916K 4177M  81920B 0B    
1295  fs_usage         0.0  00:00.07 2/1   1   24     1448K  0B     0B    1295 515  running  *0[1]    0.00000 0.00000    0   1818   226  49      18      1009    175     52      0       0     0.0   0      0      root               67     612K   54396K 4206M  340K   0B    
1293  top              0.0  00:00.27 1/1   0   17     1552K  0B     0B    1293 515  running  *0[1]    0.00000 0.00000    0   874    48   121195  60597   1245    62476   219     0       0     0.0   0      0      root               37     1360K  45752K 4196M  120K   -12K  
1289  dprivacyd        0.0  00:00.12 5     5   34     3308K  24576B 0B    1289 1    sleeping  0[0]    0.00000 0.00000    0   2731   287  116     41      2311    371     243     32      0     0.0   0      0      root               95     2396K  61728K 4239M  372K   0B    
1288  AddressBookSourc 0.0  00:00.36 4     3   85     4988K  168K   0B    1288 1    sleeping *0[2]    0.00000 0.00000    501 5748   399  363     96      3346    958     722     0       0     0.0   0      0      ryangosdin         118    3868K  60700K 4241M  412K   25472B
1287  parsec-fbf       0.0  00:00.64 6     6   68     5516K  36864B 0B    1287 1    sleeping  0[0]    0.00000 0.00000    501 4456   388  263     100     4881    931     1400    157     0     0.0   0      0      ryangosdin         108    4172K  61808K 4241M  388K   16224B
1281  xpcroleaccountd  0.0  00:00.07 2     2   40     2664K  0B     0B    1281 1    sleeping *0[1]    0.00000 0.00000    0   2581   307  121     45      1897    344     189     0       0     0.0   0      0      root               83     1656K  55112K 4233M  348K   0B    
1280  com.apple.activi 0.0  00:00.09 3     3   58     2272K  0B     0B    1280 1    sleeping *1[1]    0.00000 0.00000    0   2767   202  149     44      1048    338     211     1       0     0.0   0      0      root               87     1700K  55592K 4233M  268K   -12K  
1274  rpcsvchost       0.0  00:00.05 16    2   39     3148K  0B     0B    1274 1    sleeping *0[1]    0.00000 0.00000    0   2468   294  76      31      1211    289     103     0       0     0.0   0      0      root               111    2268K  62560K 4215M  356K   6544B 
1271  SharePointManage 0.0  00:00.04 3     3   33     1480K  0B     0B    1271 1    sleeping *0[1]    0.00000 0.00000    501 2033   266  166     52      1013    379     103     0       0     0.0   0      0      ryangosdin         71     624K   54704K 4207M  344K   -12K  
