Mach Virtual Memory Statistics: (page size of 4096 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 2421638   587734   248482   470014        0   466182    30197  6653125   311461  2665715     4523        0      788010    518220        0        0        0        0   683727        0        0        0 
 2421002   587887   248964   470018        0   466188    30214     3330      225     1718        0        0      788496    518373        0        0        0        0        0        0        0        0 
 2387995   588025   248964   470018        0   499096    30214      269        0      268        0        0      788496    518511        0        0        0        0        0        0        0        0 
 2387786   588151   248984   470018        0   499096    30214      206        4      166        0        0      788516    518637        0        0        0        0        0        0        0        0 
 2387680   587668   249009   470018        0   499579    30214       35        0       22        0        0      788541    518154        0        0        0        0        0        0        0        0 
 2358603   616679   249009   470018        0   499633    30214    29164        0    29017        0        0      788541    547165        0        0        0        0        0        0        0        0 
 2340825   634481   249033   470018        0   499669    30214    17813        0    17810        0        0      788565    564967        0        0        0        0        0        0        0        0 
 2340854   634484   249033   470018        0   499669    30214       34        1       31        0        0      788565    564970        0        0        0        0        0        0        0        0 
 2340765   634488   249033   470018        0   499670    30214      299        0      299        0        0      788565    564974        0        0        0        0        0        0        0        0 
 2340884   634968   249053   470018        0   499187    29769      103        0       78        0        0      788585    565454        0        0        0        0        0        0        0        0 
 2340941   633997   249055   470018        0   500116    29770       45        0       15        0        0      788587    564483        0        0        0        0        0        0        0        0 
 2340959   633997   249055   470018        0   500117    29770       21        0       19        0        0      788587    564483        0        0        0        0        0        0        0        0 
 2341022   633956   249055   470018        0   500117    30215       22        0       22        0        0      788587    564442        0        0        0        0        0        0        0        0 
 2341046   633956   249055   470018        0   500117    30215       24        0       24        0        0      788587    564442        0        0        0        0        0        0        0        0 
 2340915   633959   249055   470018        0   500117    30215      256        0      256        0        0      788587    564445        0        0        0        0        0        0        0        0 
 2341032   634351   249076   470019        0   499671    30215       61        0       61        0        0      788608    564838        0        0        0        0        0        0        0        0 
 2341057   634835   249076   470019        0   499187    30215       25        0       25        0        0      788608    565322        0        0        0        0        0        0        0        0 
 2340947   634835   249076   470019        0   499187    30215       18        0       18        0        0      788608    565322        0        0        0        0        0        0        0        0 
 2340993   634813   249076   470019        0   499187    30215       24        0       24        0        0      788608    565300        0        0        0        0        0        0        0        0 
 2341017   634813   249077   470019        0   499187    30215       24        0       24        0        0      788609    565300        0        0        0        0        0        0        0        0 
 2340907   634333   249096   470019        0   499670    30214      278        0      273        0        0      788628    564820        0        0        0        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 4096 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 2340874   634330   249116   470019        0   499670    30214  6705273   311691  2715974     4523        0      788648    564817        0        0        0        0   683727        0        0        0 
 2340905   634325   249116   470019        0   499670    30214       26        0       26        0        0      788648    564812        0        0        0        0        0        0        0        0 
 2341013   634238   249123   470019        0   499670    30212       21        0       21        0        0      788655    564725        0        0        0        0        0        0        0        0 
 2341013   634240   249123   470019        0   499670    30212        2        0        2        0        0      788655    564727        0        0        0        0        0        0        0        0 
 2341013   634723   249123   470019        0   499187    30212        0        0        0        0        0      788655    565210        0        0        0        0        0        0        0        0 
 2341489   634247   249123   470019        0   499187    29767      245        0      245        0        0      788655    564734        0        0        0        0        0        0        0        0 
 2341428   634245   249146   470019        0   499187    29767       62        0       62        0        0      788678    564732        0        0        0        0        0        0        0        0 
 2341558   634114   249147   470020        0   499187    29767        0        0        0        0        0      788679    564602        0        0        0        0        0        0        0        0 
 2341562   634114   249147   470020        0   499187    29767        4        0        4        0        0      788679    564602        0        0        0        0        0        0        0        0 
 2341589   634121   249147   470020        0   499187    29767       34        0       34        0        0      788679    564609        0        0        0        0        0        0        0        0 
 2341600   634121   249147   470020        0   499187    29767       11        0       11        0        0      788679    564609        0        0        0        0        0        0        0        0 
 2341177   634535   249148   470020        0   499187    29767      739        0      702        0        0      788680    565023        0        0        0        0        0        0        0        0 
 2341154   633650   249168   470020        0   500119    29767      162        0      149        0        0      788700    564138        0        0        0        0        0        0        0        0 
 2341158   633651   249168   470020        0   500120    29768       27        0        6        0        0      788700    564139        0        0        0        0        0        0        0        0 
 2340854   633874   249188   470010        0   500123    30072     1615       62      203        0        0      788710    564362        0        0        0        0        0        0        0        0 
